symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
AEVA,73.0,,,18.270000457763672,,0.9208,70.0,0.9679,86.0,1.0761,,1.0609,,1.0457,,1.0856,96.0,0.9647,92.0,0.8474,,0.9059,,0.9644,,20270115.0,35.0,609.0
AEYE,80.0,,,12.220000267028809,,0.5161,,0.4815,,1.0703,,0.9286,,0.787,,0.8655,,0.7875,,0.945,,0.9115,,0.878,,20251219.0,35.0,217.0
AFCG,79.0,,,4.960000038146973,,0.4567,,0.3517,,,,,,,,0.5455,,0.477,,,,,,,,20260116.0,35.0,245.0
AFG,116.0,,,123.9800033569336,,0.2326,70.0,0.1675,55.0,0.105,1.0,0.1516,10.0,0.1983,37.0,0.2718,75.0,0.2239,71.0,0.1864,38.0,0.2158,56.0,0.2452,65.0,20251219.0,35.0,217.0
AFK,,,,18.940000534057617,,0.0753,,0.2304,,0.2395,,0.3011,,0.3627,,0.2485,,0.2344,,0.2096,,0.2862,,0.3627,,20251219.0,35.0,217.0
AFL,115.0,,,103.54000091552734,,0.1867,53.0,0.1462,35.0,0.1644,27.0,0.1846,38.0,0.2049,48.0,0.2577,70.0,0.2244,70.0,0.182,34.0,0.2195,49.0,0.257,56.0,20270115.0,7.0,609.0
AFMD,198.0,,,0.02979999966919422,,13.3185,100.0,0.0,1.0,,,,,,,3.1724,100.0,0.0,1.0,,,,,,,20260116.0,35.0,245.0
AFMDQ,,,,0.02969999983906746,,5.9805,,6.1617,,,,,,,,0.0,,0.0,,,,,,,,,,
AFRM,114.0,,,51.900001525878906,,0.5002,15.0,0.416,2.0,0.5705,3.0,0.571,3.0,0.5715,3.0,0.877,45.0,0.6956,39.0,0.6924,19.0,0.7042,21.0,0.7159,23.0,20270115.0,7.0,609.0
AFYA,79.0,,,18.229999542236328,,0.2107,10.0,0.2936,16.0,,,,,,,0.3465,22.0,0.3071,12.0,,,,,,,20251219.0,35.0,217.0
AG,100.0,,,6.170000076293945,,0.4062,28.0,0.4862,61.0,0.5313,45.0,0.5261,44.0,0.5209,43.0,0.6477,65.0,0.5408,69.0,0.5941,50.0,0.6181,61.0,0.6421,69.0,20270115.0,7.0,609.0
AGCO,114.0,,,97.9800033569336,,0.3419,69.0,0.2274,41.0,0.322,59.0,0.3348,62.0,0.3476,66.0,0.4708,90.0,0.3861,90.0,0.3442,68.0,0.3606,69.0,0.3769,69.0,20251121.0,35.0,189.0
AGEN,81.0,,,3.430000066757202,,1.3194,94.0,1.1629,93.0,2.6151,99.0,2.1224,99.0,1.6297,96.0,1.0494,88.0,1.0484,93.0,2.1342,96.0,1.9067,98.0,1.6792,96.0,20251121.0,35.0,189.0
AGG,,,,98.0999984741211,,0.0618,86.0,0.0355,73.0,0.031,22.0,0.0558,69.0,0.0805,85.0,0.0544,78.0,0.0441,82.0,0.0201,6.0,0.0607,74.0,0.1013,90.0,20251219.0,35.0,217.0
AGGY,,,,42.97999954223633,,0.0562,,0.0359,,,,,,,,0.0624,,0.0458,,,,,,,,20260116.0,35.0,245.0
AGI,101.0,,,25.889999389648438,,0.2633,16.0,0.2173,3.0,0.3658,15.0,0.3727,16.0,0.3795,18.0,0.43,37.0,0.3363,28.0,0.3925,17.0,0.3742,6.0,0.3559,3.0,20270115.0,35.0,609.0
AGIO,107.0,,,32.09000015258789,,0.2525,12.0,0.39,28.0,0.6508,63.0,0.633,57.0,0.6153,55.0,0.6193,62.0,0.5818,69.0,0.6081,60.0,0.6146,60.0,0.6211,61.0,20251219.0,35.0,217.0
AGIX,,,,28.969999313354492,,0.2358,13.0,0.1422,100.0,0.2668,,0.2789,,0.291,,0.3769,23.0,0.2542,100.0,0.2716,,0.2813,,0.291,,,,
AGL,95.0,,,2.2200000286102295,,0.6832,79.0,0.64,78.0,0.8188,76.0,0.7846,71.0,0.7503,74.0,1.0387,95.0,0.9667,100.0,1.3415,99.0,1.081,98.0,0.8204,89.0,20270115.0,35.0,609.0
AGM,99.0,,,186.4199981689453,,0.34,61.0,0.215,24.0,0.2682,20.0,0.277,18.0,0.2858,19.0,0.2905,28.0,0.2676,32.0,0.304,39.0,0.2938,21.0,0.2837,11.0,20251121.0,35.0,189.0
AGNC,124.0,,,8.9399995803833,,0.3253,87.0,0.2235,76.0,0.2088,65.0,0.208,59.0,0.2071,50.0,0.2563,71.0,0.2501,76.0,0.2977,79.0,0.2879,72.0,0.278,41.0,20270115.0,7.0,609.0
AGNG,,,,31.350000381469727,,0.1488,,0.0792,,0.1569,,,,,,0.1835,,0.1493,,0.1516,,,,,,20260116.0,35.0,245.0
