percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
77,0.8801639999999997,0.933372,0.929186,0.964558,0.907834,0.946986,0.977672,0.940462,0.93448,0.8414100000000001,0.8906,0.88151,0.8726100000000001,0.93245,0.8646,0.92759,0.85504,0.92094,0.8425100000000001,0.9082,0.863162,0.9245,0.938244,0.9446,0.876424,0.8741479999999999,0.893396,0.92691
78,0.9036460000000002,0.946323,0.940141,0.9738,0.9206870000000004,0.966182,0.986623,0.9496460000000002,0.943105,0.84891,0.8968,0.8874200000000001,0.878425,0.9403,0.8691350000000001,0.9370550000000004,0.863315,0.92712,0.85013,0.914435,0.875082,0.939,0.948382,0.952541,0.8920410000000001,0.8838150000000005,0.9069050000000002,0.9396870000000004
79,0.92516,0.95842,0.95102,0.98004,0.9435800000000004,0.9913600000000002,0.9985,0.96422,0.9522,0.8564,0.9024,0.8924,0.8879,0.9488,0.8732,0.9468,0.8668,0.9338,0.8605,0.9216,0.8913,0.9481400000000002,0.95582,0.9561,0.90874,0.8918400000000001,0.9264600000000004,0.9515
80,0.942497,0.964499,0.9782870000000002,0.988198,0.969898,1.0170870000000003,1.010496,0.9729,0.96026,0.86498,0.90829,0.90126,0.89649,0.9594,0.8814,0.95438,0.87299,0.94309,0.8663949999999999,0.92956,0.9063,0.959096,0.962297,0.9611920000000004,0.9184,0.9041900000000004,0.9490920000000004,0.9567
81,0.965312,0.974234,0.995734,1.0021679999999995,0.9909679999999998,1.0485459999999998,1.0226459999999995,0.9889019999999996,0.97035,0.8718899999999999,0.91796,0.90959,0.90211,0.96659,0.88876,0.96259,0.8832199999999999,0.95242,0.87278,0.9366,0.9286339999999998,0.972834,0.968878,0.967234,0.926534,0.9267339999999998,0.974,0.9645899999999998
82,0.9869,0.992357,1.004057,1.0292279999999998,1.0134989999999997,1.0694,1.032,0.998914,0.985525,0.8810649999999999,0.9305,0.92288,0.91031,0.9781,0.9001549999999999,0.97518,0.893085,0.9611,0.8822549999999999,0.94515,0.944714,0.982414,0.973557,0.978671,0.9401989999999998,0.948128,0.992471,0.9807269999999996
83,1.0008240000000002,1.0065960000000005,1.0309560000000002,1.041416,1.051988,1.090808,1.049,1.009708,1.001,0.88828,0.93984,0.93336,0.91988,0.99466,0.90978,0.98786,0.90252,0.9698,0.893,0.9589,0.96588,0.988488,0.9771,0.985736,0.953732,0.96148,1.001972,0.99868
84,1.0274800000000002,1.05063,1.03936,1.0587150000000003,1.07755,1.11568,1.060515,1.0257500000000002,1.0122,0.8999,0.949775,0.94575,0.932675,1.0071750000000002,0.9224,1.0034,0.913725,0.97925,0.903125,0.967375,0.986315,0.994645,0.99936,0.991545,0.9685,0.986845,1.016315,1.01633
85,1.0544980000000002,1.0652819999999998,1.09537,1.090894,1.113588,1.137722,1.078582,1.04767,1.02017,0.91106,0.96155,0.95585,0.9462000000000002,1.02017,0.9316,1.0199,0.92825,0.9946,0.91634,0.9808,1.002194,1.0032,1.013294,0.9987,0.983694,1.009282,1.034976,1.026788
86,1.079079,1.077592,1.107473,1.1052,1.136746,1.162946,1.088046,1.061846,1.0348750000000002,0.925855,0.974465,0.96513,0.95723,1.032565,0.946775,1.0334450000000002,0.942665,1.006325,0.934055,0.99302,1.021373,1.01616,1.021746,1.010765,1.005292,1.028838,1.053903,1.0398
87,1.117376,1.098208,1.119256,1.161456,1.182356,1.191604,1.102204,1.077652,1.0572799999999998,0.9450799999999998,0.98806,0.97624,0.974,1.0531599999999997,0.96262,1.05056,0.9588799999999998,1.0231,0.95424,1.0073599999999998,1.038064,1.034136,1.034204,1.022304,1.030836,1.050832,1.076656,1.050352
88,1.1640199999999998,1.123409,1.146555,1.179593,1.219231,1.216948,1.1122819999999998,1.102155,1.078165,0.96142,1.00361,0.99353,0.989155,1.072775,0.983905,1.068855,0.9797399999999998,1.042355,0.97283,1.0255299999999998,1.068793,1.054031,1.042517,1.028679,1.067055,1.078562,1.086417,1.0611929999999998
89,1.19272,1.1700199999999998,1.22224,1.19427,1.2575,1.24436,1.13417,1.1283999999999994,1.0897,0.9849,1.0360999999999998,1.0236,1.0133,1.08845,1.0087000000000002,1.08515,1.0022,1.06595,0.9961,1.05045,1.09524,1.06524,1.05244,1.04271,1.0926699999999998,1.11022,1.10003,1.07836
