percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
73,0.224266,0.2191,0.226266,0.2282,0.2222,0.217066,0.220366,0.217166,0.2316,0.227918,0.226918,0.227518,0.228,0.229618,0.227918,0.227618,0.227918,0.226236,0.227918,0.2268,0.100866,0.111132,0.1128,0.111,0.108032,0.1112,0.111666,0.107466
74,0.226025,0.224825,0.228425,0.2292,0.2239,0.219225,0.2228,0.2201,0.233325,0.2287,0.228,0.2282,0.229,0.23145,0.2287,0.2288,0.2287,0.2272,0.2287,0.2277,0.1025249999999999,0.113125,0.113525,0.1119,0.1104,0.1135,0.112525,0.108725
75,0.228284,0.227684,0.2298,0.230484,0.226684,0.2235,0.224,0.2232839999999999,0.234732,0.229432,0.2293639999999999,0.229432,0.2298,0.2327639999999999,0.229432,0.230232,0.229432,0.2284,0.229432,0.229,0.104684,0.1137,0.1142,0.1126,0.111984,0.1156,0.1133,0.110984
76,0.232129,0.229043,0.231143,0.2326,0.228143,0.226543,0.225686,0.224943,0.236039,0.2308,0.230639,0.2305,0.2309,0.2342,0.2308,0.2316,0.2308,0.229539,0.2308,0.230039,0.1058,0.114343,0.115143,0.1135,0.1134,0.118086,0.1142,0.1128
77,0.235002,0.230302,0.232804,0.234802,0.2302,0.228602,0.227202,0.227304,0.237446,0.2318,0.231846,0.231946,0.2324,0.2356,0.2318,0.2326,0.2318,0.231346,0.2318,0.2316,0.1081039999999999,0.1155,0.1163,0.1177,0.1154,0.120802,0.116002,0.1153
78,0.237822,0.232961,0.235122,0.2363,0.233261,0.230261,0.2294,0.2295,0.2386,0.233553,0.233512,0.234106,0.2342,0.2368,0.233553,0.234,0.233553,0.2324,0.233553,0.232906,0.1102,0.1165,0.1168,0.1198,0.116983,0.1228,0.1179,0.118
79,0.242,0.23462,0.237,0.2378,0.2357,0.23222,0.2331,0.23172,0.2396,0.235,0.23502,0.23532,0.2352,0.2382,0.235,0.2356,0.235,0.2338,0.235,0.234,0.11252,0.11842,0.118,0.1207,0.1215,0.12538,0.1197,0.11932
80,0.245237,0.237,0.2392,0.2385,0.239,0.235158,0.2377,0.2348,0.240767,0.236167,0.236267,0.236667,0.236134,0.2395,0.236167,0.236967,0.236167,0.235,0.236167,0.235367,0.116379,0.1197,0.1186,0.122879,0.126216,0.1268,0.122537,0.1215
81,0.2482,0.2401899999999999,0.2405379999999999,0.2393,0.2417,0.2383899999999999,0.239838,0.2406759999999999,0.242548,0.237074,0.237474,0.2376,0.237,0.2408,0.237074,0.2384,0.237074,0.236548,0.237074,0.236748,0.1191759999999999,0.1211,0.1191379999999999,0.1242379999999999,0.1289899999999999,0.1298,0.125438,0.1234
82,0.2503,0.2427,0.2417,0.2406,0.2440969999999999,0.2426969999999999,0.2417969999999999,0.2438,0.2444,0.238081,0.2388,0.2388,0.2382,0.2423809999999999,0.238081,0.2396,0.238081,0.2378,0.238081,0.238562,0.1223969999999999,0.1218,0.1200969999999999,0.1249,0.1319,0.1325969999999999,0.1277,0.1244909999999999
83,0.253656,0.244412,0.243356,0.2417119999999999,0.2466,0.246156,0.2448679999999999,0.2472,0.2459639999999999,0.2391,0.2399759999999999,0.2399879999999999,0.2391,0.2437879999999999,0.2391,0.2415639999999999,0.2391,0.2395759999999999,0.2391,0.239588,0.1260119999999999,0.1228,0.1234,0.1256,0.134256,0.135212,0.129556,0.126456
